Date,USD_IDR
2020-12-28,14050
2021-01-04,13970
2021-01-11,14113
2021-01-18,14071
2021-01-25,14088
2021-02-01,14037
2021-02-08,13991
2021-02-15,14018
2021-02-22,14169
2021-03-01,14311
2021-03-08,14394
2021-03-15,14421
2021-03-22,14417
2021-03-29,14508
2021-04-05,14550
2021-04-12,14607
2021-04-19,14530
2021-04-26,14466
2021-05-03,14378
2021-05-10,14239
2021-05-17,14352
2021-05-24,14323
2021-05-31,14282
2021-06-07,14242
2021-06-14,14330
2021-06-21,14446
2021-06-28,14539
2021-07-05,14510
2021-07-12,14492
2021-07-19,14531
2021-07-26,14479
2021-08-02,14333
2021-08-09,14378
2021-08-16,14418
2021-08-23,14420
2021-08-30,14278
2021-09-06,14238
2021-09-13,14247
2021-09-20,14258
2021-09-27,14289
2021-10-04,14230
2021-10-11,14151
2021-10-18,14129
2021-10-25,14188
2021-11-01,14318
2021-11-08,14240
2021-11-15,14234
2021-11-22,14300
2021-11-29,14377
2021-12-06,14383
2021-12-13,14339
2021-12-20,14263
2021-12-27,14236
2022-01-03,14345
2022-01-10,14308
2022-01-17,14340
2022-01-24,14368
2022-01-31,14364
2022-02-07,14353
2022-02-14,14308
2022-02-21,14361
2022-02-28,14382
2022-03-07,14320
2022-03-14,14307
2022-03-21,14354
2022-03-28,14355
2022-04-04,14357
2022-04-11,14366
2022-04-18,14368
2022-04-25,14461
2022-05-02,14473
2022-05-09,14578
2022-05-16,14659
2022-05-23,14614
2022-05-30,14515
2022-06-06,14499
2022-06-13,14764
2022-06-20,14842
2022-06-27,14886
2022-07-04,15007
2022-07-11,15020
2022-07-18,14990
2022-07-25,14945
2022-08-01,14889
2022-08-08,14790
2022-08-15,14801
2022-08-22,14843
2022-08-29,14870
2022-09-05,14891
2022-09-12,14904
2022-09-19,15016
2022-09-26,15203
2022-10-03,15249
2022-10-10,15375
2022-10-17,15526
2022-10-24,15580
2022-10-31,15672
2022-11-07,15632
2022-11-14,15615
2022-11-21,15685
2022-11-28,15587
2022-12-05,15579
2022-12-12,15627
2022-12-19,15580
2022-12-26,15638
2023-01-02,15609
2023-01-09,15407
2023-01-16,15130
2023-01-23,14978
2023-01-30,14956
2023-02-06,15152
2023-02-13,15196
2023-02-20,15195
2023-02-27,15278
2023-03-06,15420
2023-03-13,15418
2023-03-20,15246
2023-03-27,15065
2023-04-03,14933
2023-04-10,14814
2023-04-17,14923
2023-04-24,14825
2023-05-01,14690
2023-05-08,14744
2023-05-15,14862
2023-05-22,14913
2023-05-29,14941
2023-06-05,14861
2023-06-12,14910
2023-06-19,14985
2023-06-26,15027
2023-07-03,15074
2023-07-10,15075
2023-07-17,14999
2023-07-24,15039
2023-07-31,15147
2023-08-07,15212
2023-08-14,15319
2023-08-21,15298
2023-08-28,15251
2023-09-04,15299
2023-09-11,15366
2023-09-18,15371
2023-09-25,15487
2023-10-02,15606
2023-10-09,15698
2023-10-16,15778
2023-10-23,15907
2023-10-30,15838
2023-11-06,15641
2023-11-13,15567
2023-11-20,15534
2023-11-27,15485
2023-12-04,15506
2023-12-11,15587
2023-12-18,15489
2023-12-25,15432
2024-01-01,15535
2024-01-08,15551
2024-01-15,15604
2024-01-22,15739
2024-01-29,15751
2024-02-05,15690
2024-02-12,15610
2024-02-19,15626
2024-02-26,15688
2024-03-04,15670
2024-03-11,15560
2024-03-18,15736
2024-03-25,15838
2024-04-01,15900
2024-04-08,15953
2024-04-15,16191
2024-04-22,16210
2024-04-29,16180
2024-05-06,16060
2024-05-13,16021
2024-05-20,16016
2024-05-27,16167
2024-06-03,16260
2024-06-10,16328
2024-06-17,16443
2024-06-24,16388
2024-07-01,16343
2024-07-08,16210
2024-07-15,16170
2024-07-22,16256
2024-07-29,16275
2024-08-05,16055
2024-08-12,15763
2024-08-19,15550
2024-08-26,15463
2024-09-02,15486
2024-09-09,15436
2024-09-16,15269
2024-09-23,15144
2024-09-30,15333
2024-10-07,15656
2024-10-14,15529
2024-10-21,15600
2024-10-28,15730
2024-11-04,15732
2024-11-11,15816
2024-11-18,15882
2024-11-25,15869
2024-12-02,15887
2024-12-09,15934
2024-12-16,16163
2024-12-23,16200
2024-12-30,16195
2025-01-06,16190
2025-01-13,16362
2025-01-20,16264
2025-01-27,16232
2025-02-03,16343
2025-02-10,16331
2025-02-17,16309
2025-02-24,16401
2025-03-03,16372
2025-03-10,16412
2025-03-17,16487
2025-03-24,16582
2025-03-31,16754
2025-04-07,16900
2025-04-14,16833
2025-04-21,16856
2025-04-28,16658
2025-05-05,16482
2025-05-12,16569
2025-05-19,16361
2025-05-26,16296
2025-06-02,16295
2025-06-09,16274
2025-06-16,16346
2025-06-23,16317
2025-06-30,16217
2025-07-07,16248
2025-07-14,16298
2025-07-21,16312
2025-07-28,16443
2025-08-04,16337
2025-08-11,16208
2025-08-18,16289
2025-08-25,16356
2025-09-01,16431
2025-09-08,16472
2025-09-15,16497
2025-09-22,16685
2025-09-29,16632
2025-10-06,16586
2025-10-13,16600
2025-10-20,16603
2025-10-27,16625
2025-11-03,16703
2025-11-10,16718
2025-11-17,16735
2025-11-24,16638
2025-12-01,16633
2025-12-08,16676
2025-12-15,16699
2025-12-22,16770
2025-12-29,16750
